workload,group,score
sdss,within,0.796967
sdss,within,0.540227
sdss,within,0.736577
sdss,within,0.685497
sdss,within,0.888353
sdss,within,0.687364
sdss,within,0.688770
sdss,within,0.906624
sdss,within,0.784679
sdss,within,0.794760
sdss,within,0.809057
sdss,within,0.610814
sdss,within,0.677429
sdss,within,0.539618
sdss,within,0.593916
sdss,within,0.597969
sdss,within,0.632537
sdss,within,0.705873
sdss,within,0.805009
sdss,within,0.656651
sdss,within,0.647577
sdss,within,0.779044
sdss,within,0.788507
sdss,within,0.742033
sdss,within,0.539900
sdss,within,0.642130
sdss,within,0.738754
sdss,within,0.626703
sdss,within,0.553145
sdss,within,0.807768
sdss,within,0.733579
sdss,within,0.763628
sdss,within,0.605471
sdss,within,0.686464
sdss,within,0.685264
sdss,within,0.706762
sdss,within,0.844285
sdss,within,0.931010
sdss,within,0.606817
sdss,within,0.665006
sdss,within,0.594128
sdss,within,0.650203
sdss,within,0.786207
sdss,within,0.617223
sdss,within,0.762069
sdss,within,0.749613
sdss,within,0.824544
sdss,within,0.781409
sdss,within,0.610716
sdss,within,0.597395
sdss,within,0.700002
sdss,within,0.614275
sdss,within,0.759739
sdss,within,0.693677
sdss,within,0.629530
sdss,within,0.734415
sdss,within,0.726538
sdss,within,0.648852
sdss,within,0.789823
sdss,within,0.684035
sdss,within,0.611147
sdss,within,0.766649
sdss,within,0.741199
sdss,within,0.678733
sdss,within,0.819069
sdss,within,0.753651
sdss,within,0.689698
sdss,within,0.618227
sdss,within,0.712745
sdss,within,0.444560
sdss,within,0.409461
sdss,within,0.575429
sdss,within,0.757559
sdss,within,0.724822
sdss,within,0.720542
sdss,within,0.674148
sdss,within,0.631275
sdss,within,0.684028
sdss,within,0.766517
sdss,within,0.650089
sdss,within,0.698947
sdss,within,0.712393
sdss,within,0.516977
sdss,within,0.386267
sdss,within,0.392650
sdss,within,0.668295
sdss,within,0.811251
sdss,within,0.600657
sdss,within,0.742230
sdss,within,0.911378
sdss,within,0.660110
sdss,within,0.627696
sdss,within,0.618871
sdss,within,0.812313
sdss,within,0.760445
sdss,within,0.560469
sdss,within,0.744364
sdss,within,0.857122
sdss,within,0.677146
sdss,within,0.615279
sdss,within,0.628085
sdss,within,0.557300
sdss,within,0.659117
sdss,within,0.761094
sdss,within,0.665939
sdss,within,0.615095
sdss,within,0.642133
sdss,within,0.784773
sdss,within,0.644729
sdss,within,0.672910
sdss,within,0.629179
sdss,within,0.745839
sdss,within,0.586893
sdss,within,0.772261
sdss,within,0.685520
sdss,within,0.630377
sdss,within,0.667212
sdss,within,0.726690
sdss,within,0.888025
sdss,within,0.732720
sdss,within,0.731445
sdss,within,0.694793
sdss,within,0.723291
sdss,within,0.720607
sdss,within,0.848357
sdss,within,0.658990
sdss,within,0.577004
sdss,within,0.700937
sdss,within,0.647673
sdss,within,0.766079
sdss,within,0.635980
sdss,within,0.743556
sdss,within,0.831629
sdss,within,0.773332
sdss,within,0.745811
sdss,within,0.854523
sdss,within,0.703444
sdss,within,0.776717
sdss,within,0.636828
sdss,within,0.633204
sdss,within,0.708288
sdss,within,0.627610
sdss,within,0.747661
sdss,within,0.889718
sdss,within,0.662314
sdss,within,0.701852
sdss,within,0.840751
sdss,within,0.685460
sdss,within,0.654698
sdss,within,0.700167
sdss,within,0.819993
sdss,within,0.798442
sdss,within,0.796763
sdss,within,0.547707
sdss,within,0.818527
sdss,within,0.805139
sdss,within,0.875000
sdss,within,0.816402
sdss,within,0.611931
sdss,within,0.655043
sdss,within,0.779029
sdss,within,0.614623
sdss,within,0.603420
sdss,within,0.809782
sdss,within,0.943772
sdss,within,0.721174
sdss,within,0.674232
sdss,within,0.632099
sdss,within,0.774682
sdss,within,0.848846
sdss,within,0.680670
sdss,within,0.558917
sdss,within,0.711706
sdss,within,0.701759
sdss,within,0.670758
sdss,within,0.638137
sdss,within,0.780376
sdss,within,0.605287
sdss,within,0.793823
sdss,within,0.637768
sdss,within,0.648828
sdss,within,0.748127
sdss,within,0.673883
sdss,within,0.727224
sdss,within,0.726243
sdss,within,0.854170
sdss,within,0.713328
sdss,within,0.690729
sdss,within,0.634570
sdss,within,0.625226
sdss,within,0.730415
sdss,within,0.944179
sdss,within,0.589017
sdss,within,0.761023
sdss,within,0.890681
sdss,within,0.735673
sdss,within,0.340489
sdss,within,0.686319
sdss,within,0.897725
sdss,within,0.688343
sdss,within,0.656763
sdss,within,0.851170
sdss,within,0.742568
sdss,within,0.590408
sdss,within,0.644061
sdss,within,0.757917
sdss,within,0.624082
sdss,within,0.773798
sdss,within,0.702732
sdss,within,0.761840
sdss,within,0.668320
sdss,within,0.960581
sdss,within,0.633666
sdss,within,0.636968
sdss,within,0.687930
sdss,within,0.571471
sdss,within,0.700312
sdss,within,0.568398
sdss,within,0.695121
sdss,within,0.813237
sdss,within,0.804846
sdss,within,0.734009
sdss,within,0.846005
sdss,within,0.758378
sdss,within,0.643160
sdss,within,0.854763
sdss,within,0.659480
sdss,within,0.652492
sdss,within,0.694102
sdss,within,0.642643
sdss,within,0.649973
sdss,within,0.642003
sdss,within,0.644539
sdss,within,0.889141
sdss,within,0.885296
sdss,within,0.880761
sdss,within,0.601090
sdss,within,0.680538
sdss,within,0.912341
sdss,within,0.826689
sdss,within,0.677498
sdss,within,0.634823
sdss,within,0.747610
sdss,within,0.774352
sdss,within,0.727538
sdss,within,0.730840
sdss,within,0.807234
sdss,within,0.680020
sdss,within,0.804155
sdss,within,0.929029
sdss,within,0.667915
sdss,within,0.680755
sdss,within,0.873981
sdss,within,0.588026
sdss,within,0.755221
sdss,within,0.706510
sdss,within,0.736485
sdss,within,0.681574
sdss,within,0.883596
sdss,within,0.605552
sdss,within,0.783508
sdss,within,0.760771
sdss,within,0.666880
sdss,within,0.544585
sdss,within,0.660839
sdss,within,0.746032
sdss,within,0.703892
sdss,within,0.681132
sdss,within,0.652800
sdss,within,0.776226
sdss,within,0.780418
sdss,within,0.792030
sdss,within,0.695913
sdss,within,0.716115
sdss,within,0.676565
sdss,within,0.682829
sdss,within,0.667707
sdss,within,0.647600
sdss,within,0.620604
sdss,within,0.733870
sdss,within,0.651025
sdss,within,0.693126
sdss,within,0.782014
sdss,within,0.817523
sdss,within,0.898107
sdss,within,0.645167
sdss,within,0.694789
sdss,within,0.874702
sdss,within,0.898112
sdss,within,0.753585
sdss,within,0.878377
sdss,within,0.796217
sdss,within,0.756171
sdss,within,0.725289
sdss,within,0.747717
sdss,within,0.697845
sdss,within,0.800559
sdss,within,0.845234
sdss,within,0.872408
sdss,within,0.668708
sdss,within,0.665287
sdss,within,0.948535
sdss,within,0.639873
sdss,within,0.620028
sdss,within,0.819257
sdss,within,0.721068
sdss,within,0.730413
sdss,within,0.637816
sdss,within,0.798973
sdss,within,0.728147
sdss,within,0.728974
sdss,within,0.822736
